address,amount
0xd950933125f3ee7fa797d8cd841c6239df488912,5963.632583
0x6579ff798bdacf9363bc57906a3279ed20f795b2,4399.859636
0xe13a21aced01b8197a3c3c7f0ea64181844cf68f,3234.196318
0x85fc0bb466613b6c1123b28f59ccee8eef38e241,3048.624577
0xffa88cb5826bb90902f4dd6e1f2ff7a28428e5b6,2822.793916
0x36bbc5cfa2dd5fc7e72d6e9d06df2330775051f6,1727.159717
0x912e8708372da6ea74c62acf8a50b08a5ad4b415,1568.754036
0xb862a4bfda748f14e5da60322b3509c3c005a2cb,1036.893096
0xc2d59209c9a3dae8233962202edb9f86b3d239b8,793.3722919
0xb3d82ae65f3c43482b758617786716830db2bb2f,785.1084248
0x413e75fa2eb19c558cba528423410bc1484f00f5,758.6530625
0x618b7ed112db2f0ac78478bc3e6dee8efc2efcc9,712.0433051
0x6b8376618c1bb29232a6c9551bd5d4fde9fefdd9,703.2798254
0x5452b6bb0dc4d298ca140475309287604423e9bf,696.2715649
0xd04000c4727ce405190a066477b01b1a2ebb54e2,645.3584616
0x0233b7fca4499f6ab58fa89b493ab5041e855c93,617.6448714
0xa157a61739d7376357ea595b3ae3ef59d830e5ac,601.5747447
0xa3fec866cf8910dc143ac1b7a0efa8c9ff246209,593.721237
0x53b668ac61cba6bf664489645c434148b2522ab4,586.1903029
0x1368afc4c5c6c67ecfb7dcad9d45d52d59582c1c,560.0583893
0x34cf6a6caf44b4f4650146c749685cc25768c257,538.8827484
0x0989e642be36707327b5dc2f2d4f1ce1675dcc08,493.7456615
0x91d8bfbbf68c302984e3ff7ea5c457d89b195fba,469.7920942
0x8dbb7302684b12303f212e923ec50d2ef65e2245,450.596101
0x9199079d9655c61e8515beb32266a4162316dd1f,419.1369775
0x9438742dd4cb092b200137118775ec873f858c26,385.4165987
0xc6f2c9a212d42b6c75b8771039c2cda1d7268a4c,366.9698587
0x2d0d44c6e96d2eddfdf2f47b3cdf911767b1d3f9,360.4800545
0x389408aad7e47417fcf7e8a85b10320a22074e4a,343.0560829
0x5abbd380106eeb207f3a48e116e64f153a0baafb,340.865383
0x4474fb8f5073fc93587227cd9087acbe74fd78a4,333.7517096
0x5cc2d0190b5c81d5222796b9fde535e6711c4af7,331.8994979
0x8e0651ceb13e90c8625237ee276a78e9f1e152e4,323.8713585
0xa777d336f3a448cf733c35ea75e73310e9ef0091,319.7812101
0x74bcbfe51c06033de69eccc976c1cd7aaedd92d2,318.7823561
0x95c045fc22cc5bad9e80343a24f400087561fc5a,302.4351451
0x29d087d5a3bbabb2c86d5ce21084b308eb5865a3,299.7628131
0xa9b2dbe58e73690ec8f18a5f63e9b984244aaab3,287.1005633
