address,amount
0xe1e550357dd309e360b045de0713b13066efd701,5963.632583
0xe4a1319048c3a3873da557a289817276aac96296,4399.859636
0x2de670a1d8c1de83d8727295284704bb196ba117,3234.196318
0x9933fcd422180fe81c83aed0de219c6fc4a08c15,3048.624577
0x2d500166d5422c9b9db58320d3174c931f280a6d,2822.793916
0x425a9d0d5955cb82d77fda64d01561dd960e7e9f,1727.159717
0x1b1627b632f774b4b95cfe28ec03d8f9c5847f0b,1568.754036
0x2b96c5e63384fee4848181addd04c29b3a16eb89,1036.893096
0x8021712b9c17bdc3057067d27782404dcca352e3,793.3722919
0xd6475c558a7220770b7b63df40ab4716d30584de,785.1084248
0xd80b64c73d1f4e7a67bc43b688494c320d0aa583,758.6530625
0x295a0a789d2c29f08acebc8807ed12bcbf907de9,712.0433051
0x95ed2e550a3a90232ae664312280b908f91c5b07,703.2798254
0x59ecf48345a221e0731e785ed79ed40d0a94e2a5,696.2715649
0x4cc54cb2e27d74967831f7af748ea793aba5989c,645.3584616
0xf35960302a07022aba880dffaec2fdd64d5bf1c1,617.6448714
0xb7e622231cebee6682fd78788127d6f038c8daab,601.5747447
0xacf4c2950107ef9b1c37faa1f9a866c8f0da88b9,593.721237
0xc40b73d7969c3543ff6fb00bf6cba9382f88c5ac,586.1903029
0xe3023dae714d827f2452442fccfdc2bcd684de13,560.0583893
0xc37f899bb002d93fdcbd9d91d42889ac0e29b704,538.8827484
0x68dccefd43813a3689446cd5dc406c3aa382dd31,493.7456615
0x1339e13f50251bc9567ee9b315a8ecf4cd8af4e6,469.7920942
0xffdcabffb9ec425fd0b469ef626c844cb68670e8,450.596101
0x60c71d57a2152f1f0cc00b101ef3fb6da2330c0b,419.1369775
0xc799be8de03f20b2d3b101e6f6516d614e6ffe06,385.4165987
0x00862339a67d51c35027555dee8c58ca86dc3ad6,366.9698587
0xa6ed1c21933791179c469a830f641341b7c42e48,360.4800545
0x0b051d622446e517bd2f5e0af393bd53f84fe405,343.0560829
0x344651a2445484bd2928eb46d2610daac1b42a66,340.865383
0x02e216dd67bc705564f1c51d81ce8e9b67072f73,333.7517096
0xf98c7c743c0adc30b5839336fb9558fa052463a3,331.8994979
0xf72bdfb3cc3b5168ce3d3c640212eb5cbf6c0e00,323.8713585
0x4b294417042cc1e6f6ba371a516b57aad4aa0e75,319.7812101
0x9f5b5a303d6d75e45d6d6daed3c3e4d25f8ec873,318.7823561
0xbf58548eb9103acba6d7dfdbc6c810d95e860b6c,302.4351451
0x179f1c3ea53fcd96730aa76d5f28305f8a2a0880,299.7628131
0x4ac804537422a3a1f8843fad4710dd0b4e1e8b0e,287.1005633
0x45c127bbbb590d99d0f35a80762ddf03f55d089b,281.2121135
0x0cb403191652bf920a79e56c7cbed9ee5d8d6ddf,272.3282637
0x2a0b5075e2d0845bd9114e8f3102e7441960a24c,258.8468745
0xee1783d97d54cf878adaacb9cb744d553eb5d33d,247.3704707
0x0717a10bf2a82a7793223de45dab655134e84e07,241.8762394
0xac845052f697734e93adce1158e6ef67b3c1f06a,241.6228136
0x1192810300f93cda88253ec12acf32960d9fc871,241.2894817
0x261f436676cfa456a8f086a850160e97550aea9c,239.3712804
0x58abff68f76bc25aa2b2984b95d5659c7bd05e44,232.9378932
0xcdc7855a74c7f0902527064dbef3ab52895681de,229.1855804
0x78dd7a6ce415312759814009149fc6648da36f55,211.3839212
0xf389dd1f828525b449d63d14157f2d3a25ee0a41,210.8479592
0xdc5b4c33c28c13efa5733dc0d8ca5a0040c675a1,203.399474
0xa2644fdffc492b0d75f65d5927394757cd357c1b,194.8988807
0xc5e2085986fc6c18dc79e48f887440c7297bae0c,192.697532
0x2f5f939883cb8e06c1f604318638c5ae09e45701,191.2778061
0x0ac10e4d2e771012cdf37361de7c374685737641,189.7019735
0xc483287d7e6d2d5427444b7b5690794d5c886c27,187.5797637
0x2043fc83d3e031e80680a6e2fa52c5b1c85112b9,184.135492
0x55d57319a95a03d959ed4da562bffc8321861ec7,183.2016672
0xaf8550495da9aa999e8894fb596426ab2d32ca5c,181.1201826
0xa33ff32c48cc7ee58f8d7329ff9abe3558ab1204,176.1202399
0xd9a8ad57eb13f7bde990d958be6cd67ed0d08924,175.2796274
0xe72a34aff3ebf66c321ab96438e232526c648531,173.6431361
0xd4cad48263d376de582a6025068975a43da9d269,173.1441147
0xcd90b68e507f3e57fb4fdf6cd102be39de80f0d9,172.9284023
0x04490dc0f52a97ef2d6ea0c4d9edbcde8c8546cc,171.7324712
0xe82fdf5d62d180702b98ce9816ad43cbef7526b8,170.433828
0x775bbfdeb720bc3ee4314ddc2017f14055ce7f7a,166.8368972
0xa1ddc7ed6e7b9179c68cdee24a5e47de930061ee,161.9690341
0xaf533d5a3eaa9a48f5c2216a13d486c7e6e87cc2,154.4544258
0x13e2926facd4e56a8f4412a945ea038f62de22a5,153.1934588
